"","location","year","state","complexity","hard.coral","macroalgae","depth"
"1","Cousin Carbonate","1994","Shifted",3.0625,49.6875,0.4375,5.975
"2","Mahe E Carbonate","1994","Shifted",2.8125,28.625,12.375,6.19375
"3","Praslin NE Carbonate","1994","Shifted",3.3125,28.25,0,4.50625
"4","Praslin SW Carbonate","1994","Shifted",2.875,42.125,3.4375,6.25625
"5","Ste Anne Carbonate","1994","Shifted",3.1875,40.0625,2,5.56875
"6","Cousin Granite","1994","Shifted",3,23.3125,0.5625,5.60625
"7","Mahe E Granite","1994","Shifted",2.5625,9.875,0.6875,9.3625
"8","Cousin Patch","1994","Shifted",3.125,38.625,0,6.69375
"9","Praslin SW Patch","1994","Shifted",2.9375,16.6875,4.6875,4.93125
"10","Cousin Carbonate","2005","Shifted",2.5,0.625,41.3125,4.45
"11","Mahe E Carbonate","2005","Shifted",2.5,1.3125,47.09375,6.15
"12","Praslin NE Carbonate","2005","Shifted",1.6875,0.5,11.1875,4.2375
"13","Praslin SW Carbonate","2005","Shifted",2.5625,0.625,38.4375,6.625
"14","Ste Anne Carbonate","2005","Shifted",2.3125,9.625,12.75,2.85625
"15","Cousin Granite","2005","Shifted",2.125,1.0625,3.5625,4.93125
"16","Mahe E Granite","2005","Shifted",2,6.6875,1.5625,9.375
"17","Cousin Patch","2005","Shifted",2.75,0.53125,34.96875,6.1875
"18","Praslin SW Patch","2005","Shifted",3.0625,0.875,12,5.0625
"19","Cousin Carbonate","2008","Shifted",2.46875,1.125,32,3.75625
"20","Mahe E Carbonate","2008","Shifted",2.78125,16.25,2.4375,5.84375
"21","Praslin NE Carbonate","2008","Shifted",1.15625,2.5625,18.9375,4.11875
"22","Praslin SW Carbonate","2008","Shifted",1,0.5625,70.1875,7.725
"23","Ste Anne Carbonate","2008","Shifted",2.125,12.5625,18.875,2.85625
"24","Cousin Granite","2008","Shifted",1.46875,3.5,24.625,5.5
"25","Mahe E Granite","2008","Shifted",2.09375,7.1875,0,10.24375
"26","Cousin Patch","2008","Shifted",2.34375,1.5625,32.1875,5.825
"27","Praslin SW Patch","2008","Shifted",2.65625,2.9375,11.6875,4.8
"28","Cousin Carbonate","2011","Shifted",2.5,0.375,49.25,4.45
"29","Mahe E Carbonate","2011","Shifted",1.4375,1.875,52.25,6.15
"30","Praslin NE Carbonate","2011","Shifted",0.5,1,53.125,4.2375
"31","Praslin SW Carbonate","2011","Shifted",0.5625,0.375,77.625,6.625
"32","Ste Anne Carbonate","2011","Shifted",1.65625,14.8125,20.25,2.85625
"33","Cousin Granite","2011","Shifted",1.625,2.75,37.25,4.93125
"34","Mahe E Granite","2011","Shifted",1.9375,1,46,9.375
"35","Cousin Patch","2011","Shifted",2.75,2.75,26,6.1875
"36","Praslin SW Patch","2011","Shifted",2.0625,3.375,14.5,5.0625
"37","Cousin Carbonate","2014","Shifted",2.375,0.5,55,4.8625
"38","Mahe E Carbonate","2014","Shifted",2,6.875,6.5,6.15
"39","Praslin NE Carbonate","2014","Shifted",0.6875,0.375,46,3.8125
"40","Praslin SW Carbonate","2014","Shifted",2.25,4.25,48.25,4.875
"41","Ste Anne Carbonate","2014","Shifted",2.0625,15.375,33.5,2.775
"42","Cousin Granite","2014","Shifted",2.4375,1.375,29.75,4.2125
"43","Mahe E Granite","2014","Shifted",1.375,1.875,40.375,5.725
"44","Cousin Patch","2014","Shifted",3.0625,11,23.875,6.1875
"45","Praslin SW Patch","2014","Shifted",2.625,11.375,11.875,5.375
"46","Mahe E Carbonate","2017","Shifted",2.0625,0.25,52.5,3.725
"47","Praslin NE Carbonate","2017","Shifted",0.6875,0.625,33,3.325
"48","Praslin SW Carbonate","2017","Shifted",1.875,1.25,66,6.4625
